date,recycle Aerosol Cans - Full,recycle Alkaline Batteries,recycle Aluminum Foil,recycle Antifreeze,recycle Asphalt,recycle Auto Parts,recycle Brick,recycle Brush,recycle CD Cases,recycle CDs,recycle Cables,recycle Car Batteries,recycle Carpet,recycle Cassette Tapes,recycle Cell Phones,recycle Chip Bags,recycle Christmas Trees,recycle Clothing,recycle Concrete,recycle Cooking Oil,recycle Cookware,recycle Corks,recycle Corrugated Cardboard,recycle Crayons,recycle DVDs,recycle Dirt,recycle Doors,recycle Envelopes,recycle Eyeglasses,recycle Fabric,recycle Fire Extinguishers,recycle Floppy Disks,recycle Fluorescent Tubes,recycle Gasoline,recycle Hair,recycle Halogen Bulbs,recycle Hard Drives,recycle Hardware,recycle Heaters,recycle Leaves,recycle Lithium Batteries,recycle Lumber,recycle Magazines,recycle Mattresses,recycle Microwaves,recycle Motor Oil,recycle Nail Polish,recycle Newspaper,recycle Office Paper,recycle Oil Filters,recycle Pallets,recycle Paper Cups,recycle Phone Books,recycle Pizza Boxes,recycle Printers,recycle Propane Tanks,recycle Refrigerators,recycle Sand,recycle Shoes,recycle Small Appliances,recycle Smoke Detectors,recycle Steel Cans,recycle Stone,recycle Tablets,recycle Tile,recycle Tires,recycle Toner Cartridges,recycle Tools,recycle Toothbrushes,recycle Toothpaste Tubes,recycle Toys,recycle Transmission Fluid,recycle Trophies,recycle Vehicles,recycle Water Filters,recycle Windows,recycle Wood,recycle Yard Waste
2015-09-27,30,59,30,0,26,66,38,0,23,26,24,36,45,0,77,0,0,10,17,47,0,31,31,63,0,0,100,31,0,0,0,0,29,39,26,0,0,67,27,25,39,24,48,0,23,55,61,19,92,46,14,14,40,19,28,30,30,0,30,0,34,0,30,0,25,45,41,29,29,0,29,0,48,0,45,95,7,0
2015-10-04,60,30,30,0,53,67,38,0,0,26,0,48,23,23,67,15,5,17,41,35,32,0,0,0,34,0,50,31,0,56,0,19,19,0,26,27,36,41,27,0,26,48,24,44,24,47,60,56,47,0,28,14,59,37,31,45,30,30,41,45,0,30,89,0,12,37,49,29,29,0,44,0,24,0,0,76,14,23
2015-10-11,45,45,30,24,40,40,38,23,22,17,24,40,53,0,78,15,5,16,23,24,32,0,0,32,0,0,50,31,31,24,24,20,39,39,51,0,27,27,0,0,26,48,48,22,0,55,61,57,46,46,0,0,0,38,31,0,0,40,31,0,34,30,0,0,12,54,37,29,0,29,49,29,24,0,34,73,11,35
2015-10-18,30,29,29,23,26,52,37,0,44,17,0,23,33,22,40,0,0,12,23,23,0,62,0,0,0,49,0,30,40,31,0,0,19,0,0,0,0,53,26,24,0,0,59,21,23,23,0,37,45,0,14,14,0,28,64,43,59,30,25,0,0,0,58,0,12,40,20,57,0,0,28,29,24,44,33,84,8,22
2015-10-25,29,68,29,46,26,35,0,22,22,42,23,47,37,22,30,15,0,8,28,46,0,62,31,0,0,24,24,30,30,23,23,19,38,38,50,26,26,26,26,36,77,0,71,21,23,23,59,28,0,0,14,0,38,37,49,29,59,0,30,33,66,29,29,0,18,28,20,29,0,0,29,0,36,0,33,86,7,23
2015-11-01,59,39,29,46,26,39,0,0,22,17,0,47,44,44,80,15,5,18,40,23,31,31,0,31,66,0,0,0,30,35,0,0,19,38,37,0,0,39,26,72,26,23,58,0,23,46,0,0,0,0,14,0,0,27,49,0,44,59,39,0,33,29,29,46,0,48,28,28,0,0,28,0,24,44,33,84,10,22
2015-11-08,59,39,0,46,26,65,0,22,22,51,0,39,44,22,76,0,5,13,46,23,0,31,31,0,100,0,0,0,45,55,0,0,45,38,50,27,40,36,27,24,26,0,47,0,0,38,59,19,0,0,14,14,78,37,56,29,30,30,45,0,0,30,44,0,0,36,41,29,0,0,29,0,0,45,33,59,6,23
2015-11-15,29,87,29,23,26,51,37,0,22,17,23,46,44,22,25,0,5,13,34,23,30,31,0,0,66,24,24,30,45,23,23,0,19,38,25,26,26,79,0,72,25,24,24,21,23,23,59,37,45,45,14,0,58,18,49,43,0,29,49,33,33,0,39,0,0,52,32,38,0,0,38,0,23,0,33,71,3,23
2015-11-22,32,47,31,100,28,84,82,0,0,18,0,25,48,24,66,0,8,8,28,100,34,34,0,34,0,27,27,0,33,60,26,21,31,83,54,0,29,29,43,26,56,26,64,23,25,25,64,20,49,49,15,0,42,20,33,47,0,32,54,0,72,0,32,51,13,53,13,31,0,0,62,0,26,0,54,53,8,49
2015-11-29,0,37,47,78,50,25,0,21,21,0,0,23,21,21,48,14,8,15,16,67,29,30,29,0,32,23,24,29,39,56,0,0,37,0,24,0,0,25,38,35,0,0,23,0,45,33,57,0,44,0,26,0,37,24,53,28,0,0,43,32,0,0,0,67,0,23,12,55,0,0,27,27,23,0,32,75,8,33
